event_id|time|elapsed|dev|rts|seq|L|S|M|port|cancel|fanout|send_event_id|type
1247|4.0|0.0|n_3_12|0|1247|[]|{"lastFlipTime": 1.29462, "spins": [-1, -1, -1, -1, -1], "rng": 3237847894, "times": [1.57716, 5.0733, 2.84589, 1.98318, 1.34054], "spin": -1}|{"spin": 4294967295, "time": 1.57716}|out|True|1||send
124|0.0|0.0|n_5_7|0|124|[]|{"spins": [-1, -1, 1, 1, 1], "rng": 1598655074, "times": [0.988281, 0.399676, 0.931229, 0.137052, 0.290857], "spin": -1}||||||init
137|0.0|0.0|n_14_1|0|137|[]|{"spins": [1, 1, -1, -1, -1], "rng": 213085756, "times": [3.0035, 0.0201067, 1.73188, 1.83076, 0.727184], "spin": 1}||||||init
592|1.0|0.0|n_0_2|0|592|[]|{"spins": [-1, -1, -1, 1, -1], "rng": 2385240223, "times": [0.635184, 0.269329, 0.740431, 0.110215, 0.424253], "spin": -1}|{"spin": 4294967295, "time": 0.635184}|out|True|1||send
455|0.0|0.0|n_11_4|1|455|[]|{"spins": [-1, -1, -1, 1, -1], "rng": 3895996875, "times": [0.0974943, 1.68257, 2.28077, 0.837001, 0.835426], "spin": -1, "rts": 1}||in|||452|recv
502|0.0|0.0|n_11_8|0|502|[]|{"lastFlipTime": 0.124071, "spins": [-1, -1, -1, -1, -1], "rng": 776294037, "times": [1.83474, 1.60279, 0.868576, 0.265279, 1.05782], "spin": -1}|{"spin": 4294967295, "time": 1.83474}|out|True|1||send
862|2.0|0.0|n_1_6|0|862|[]|{"spins": [1, -1, 1, 1, 1], "rng": 3764541459, "times": [0.360684, 0.306229, 0.924206, 0.410932, 0.412369], "spin": 1}|{"spin": 1, "time": 0.360684}|out|True|1||send
422|0.0|0.0|n_2_12|0|422|[]|{"spins": [1, 1, 1, 1, 1], "rng": 2043746125, "times": [1.18244, 0.585907, 1.29462, 1.90391, 1.52188], "spin": 1}|{"spin": 1, "time": 1.18244}|out|True|1||send
590|1.0|0.0|n_3_11|0|590|[]|{"spins": [-1, 1, 1, 1, 1], "rng": 26893946, "times": [5.0733, 0.807902, 2.63215, 1.29462, 1.99779], "spin": -1}||in|||587|recv
210|0.0|0.0|n_12_1|1|210|[]|{"spins": [1, 1, -1, 1, -1], "rng": 2881538045, "times": [0.39912, 2.75667, 0.727184, 2.50841, 1.4644], "spin": 1, "rts": 1}||||||init
1128|3.0|0.0|n_8_13|0|1128|[]|{"spins": [-1, 1, -1, -1, -1], "rng": 1626248086, "times": [1.15172, 3.23888, 1.93417, 0.868348, 0.587196], "spin": -1}||in|||1127|recv
1008|3.0|0.0|n_2_5|0|1008|[]|{"spins": [1, 1, -1, 1, 1], "rng": 2292405068, "times": [0.933034, 1.74929, 2.96083, 0.924206, 1.16563], "spin": 1}||in|||1007|recv
239|0.0|0.0|n_11_8|1|239|[]|{"spins": [1, -1, -1, -1, -1], "rng": 3793816875, "times": [0.124071, 1.60279, 0.868576, 0.265279, 1.05782], "spin": 1, "rts": 1}||||||init
464|0.0|0.0|n_4_2|1|464|[]|{"spins": [1, 1, 1, 1, 1], "rng": 3192280652, "times": [0.296708, 0.547223, 2.35909, 0.715127, 1.36306], "spin": 1, "rts": 1}||in|||462|recv
40|0.0|0.0|n_3_0|1|40|[]|{"spins": [-1, -1, 1, 1, -1], "rng": 3194290468, "times": [0.296079, 1.30138, 1.47701, 1.36412, 1.25318], "spin": -1, "rts": 1}||||||init
684|1.0|0.0|n_4_3|0|684|[]|{"lastFlipTime": 0.0721432, "spins": [1, 1, -1, 1, 1], "rng": 2257956370, "times": [0.715127, 0.432991, 0.691183, 2.8533, 1.64511], "spin": 1}||in|||682|recv
426|0.0|0.0|n_2_11|1|426|[]|{"spins": [1, 1, -1, 1, 1], "rng": 2390583341, "times": [0.585907, 2.40271, 5.0733, 1.18244, 1.70049], "spin": 1, "rts": 1}||in|||422|recv
529|1.0|0.0|n_5_15|0|529|[]|{"lastFlipTime": 0.555115, "spins": [-1, -1, -1, -1, 1], "rng": 698219097, "times": [2.37178, 0.607271, 0.918344, 0.920343, 1.81767], "spin": -1}||in|||527|recv
773|2.0|0.0|n_11_8|0|773|[]|{"lastFlipTime": 0.124071, "spins": [-1, -1, -1, -1, -1], "rng": 776294037, "times": [1.83474, 1.60279, 0.868576, 1.74988, 1.05782], "spin": -1}||in|||772|recv
495|0.0|0.0|n_3_4|0|495|[]|{"spins": [1, -1, 1, -1, 1], "rng": 748443057, "times": [1.7472, 0.505912, 2.8533, 2.96083, 0.314581], "spin": 1}||in|||492|recv
326|0.0|0.0|n_0_2|1|326|[]|{"spins": [-1, -1, -1, 1, -1], "rng": 4097612581, "times": [0.0470394, 0.269329, 0.740431, 0.110215, 0.424253], "spin": -1, "rts": 1}||in|||322|recv
674|1.0|0.0|n_0_9|1|674|[]|{"spins": [1, 1, -1, -1, -1], "rng": 1366537963, "times": [1.14516, 1.6248, 2.5654, 2.4436, 1.22222], "spin": 1, "rts": 1}||in|||672|recv
281|0.0|0.0|n_8_5|0|281|[]|{"spins": [-1, 1, 1, 1, 1], "rng": 2454378353, "times": [0.55957, 1.4507, 0.862486, 0.510501, 0.365051], "spin": -1}||in|||277|recv
899|2.0|0.0|n_14_14|0|899|[]|{"spins": [-1, 1, -1, -1, 1], "rng": 957762319, "times": [1.5006, 2.31285, 0.344294, 1.47316, 1.13746], "spin": -1}||in|||897|recv
